id,year,fname,ftype,license,agerange,city,county,subregion,zip,center_based,capacity,enroll,enroll_1yr,enroll_2yr,enroll_3yr,enroll_4yr,enroll_5yr,QRIS_rating,QRIS_points,QRIS_edu_score,QRIS_pgm_score,QRIS_qual_pt,QRIS_ERS,p_pov,p_black,p_hisp,med_income
00000004,2010,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,80,0,0,14,50,16,4 stars,12,4,7,Yes,5.349999905,30.9,0.011408004,0.049353343,39171
00000004,2009,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,80,0,0,14,50,16,4 stars,12,5,6,Yes,5.539999962,30.9,0.011408004,0.049353343,39171
00000004,2012,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,69,0,2,17,36,14,4 stars,12,4,7,Yes,5.349999905,30.9,0.011408004,0.049353343,39171
00000004,2014,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,68,0,0,11,28,29,5 stars,13,5,7,Yes,5.244999886,30.9,0.011408004,0.049353343,39171
00000004,2007,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,78,0,0,22,42,13,4 stars,,,,,5.539999962,30.9,0.011408004,0.049353343,39171
00000004,2011,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,75,0,0,21,34,20,4 stars,12,4,7,Yes,5.349999905,30.9,0.011408004,0.049353343,39171
00000004,2013,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,80,0,0,18,44,18,5 stars,13,5,7,Yes,5.244999886,30.9,0.011408004,0.049353343,39171
00000004,2008,YANCEY COUNTY HEAD START CENTER,Head Start,Star Rated,3-6,Burnsville,Yancey,Yancey,28714,yes,80,80,0,0,19,48,13,4 stars,,,,,5.539999962,30.9,0.011408004,0.049353343,39171
00000018,2011,KIDZ FIRST CHILD DEVELOPMENT CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,29,32,6,4,9,4,1,3 stars,8,2,6,No,5.309999943,30.9,0.011408004,0.049353343,39171
00000018,2009,KIDZ FIRST CHILD DEVELOPMENT CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,29,26,3,6,2,3,5,3 stars,7,2,5,No,4.885000229,30.9,0.011408004,0.049353343,39171
00000018,2010,KIDZ FIRST CHILD DEVELOPMENT CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,29,23,6,4,3,2,0,3 stars,7,2,5,No,4.885000229,30.9,0.011408004,0.049353343,39171
00000018,2008,KIDZ FIRST CHILD DEVELOPMENT CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,29,30,6,6,6,4,5,3 stars,,,,,4.885000229,30.9,0.011408004,0.049353343,39171
00000018,2007,KIDZ FIRST CHILD DEVELOPMENT CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,29,24,3,4,6,6,1,3 stars,,,,,,30.9,0.011408004,0.049353343,39171
00000020,2008,TINY TOWN CHRISTIAN EDUCATIONAL CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,94,60,9,9,7,6,5,4 stars,,,,,4.860000134,30.9,0.011408004,0.049353343,39171
00000020,2011,TINY TOWN CHRISTIAN EDUCATIONAL CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,29,17,0,0,2,3,0,4 stars,10,5,4,Yes,4.644999981,30.9,0.011408004,0.049353343,39171
00000020,2010,TINY TOWN CHRISTIAN EDUCATIONAL CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,94,31,0,4,5,6,0,4 stars,10,4,5,Yes,4.860000134,30.9,0.011408004,0.049353343,39171
00000020,2009,TINY TOWN CHRISTIAN EDUCATIONAL CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,94,54,6,7,7,6,2,4 stars,10,4,5,Yes,4.860000134,30.9,0.011408004,0.049353343,39171
00000020,2007,TINY TOWN CHRISTIAN EDUCATIONAL CENTER,Independent,Star Rated,0-12,Burnsville,Yancey,Yancey,28714,yes,62,63,9,9,9,12,1,3 stars,,,,,,30.9,0.011408004,0.049353343,39171
00000026,2008,JESSICA'S FAMILY CHILD CARE HOME,Independent,Star Rated,0-12,,Yancey,,,no,8,6,4,0,0,0,0,1 star,,,,,,,,,
00000026,2007,JESSICA'S FAMILY CHILD CARE HOME,Independent,Star Rated,0-12,,Yancey,,,no,8,3,0,0,0,0,0,1 star,,,,,,,,,
00000028,2007,KIDS HOUSE,Independent,Star Rated,0-12,,Yancey,,,no,8,1,0,1,0,0,0,1 star,,,,,,,,,
