State,FIPS,census_gini,hh_gini,income_seg
Alabama,1,0.187012221,0.475,0.393709939
Alaska,2,0.149210849,0.402,0.371171267
Arizona,4,0.223357097,0.45,0.496349105
Arkansas,5,0.143483241,0.458,0.313282185
California,6,0.242471909,0.475,0.510467177
Colorado,8,0.213225345,0.438,0.486815856
Connecticut,9,0.255451707,0.477,0.535538171
Delaware,10,0.18021474,0.429,0.420080979
Florida,12,0.211543247,0.47,0.450092015
Georgia,13,0.218142752,0.461,0.473194691
Hawaii,15,0.171691587,0.434,0.395602736
Idaho,16,0.149842251,0.427,0.350918621
Illinois,17,0.222784405,0.456,0.488562292
Indiana,18,0.16870346,0.424,0.397885518
Iowa,19,0.141843786,0.418,0.339339201
Kansas,20,0.198253346,0.435,0.455754818
Kentucky,21,0.190654566,0.468,0.40738155
Louisiana,22,0.192753479,0.483,0.399075526
Maine,23,0.143173236,0.434,0.329892248
Maryland,24,0.219668307,0.434,0.506148172
Massachusetts,25,0.216281516,0.463,0.467130704
Michigan,26,0.19601683,0.44,0.445492796
Minnesota,27,0.192725147,0.426,0.452406448
Mississippi,28,0.152966996,0.478,0.320014636
Missouri,29,0.198513997,0.449,0.442124716
Montana,30,0.138747254,0.436,0.318227646
Nebraska,31,0.176020748,0.424,0.415143274
Nevada,32,0.196391981,0.436,0.450440322
New Hampshire,33,0.158090934,0.414,0.381862159
New Jersey,34,0.230310504,0.46,0.500675008
New Mexico,35,0.188898325,0.46,0.410648533
New York,36,0.260764806,0.499,0.522574761
North Carolina,37,0.181711086,0.452,0.402015677
North Dakota,38,0.128786262,0.429,0.300201077
Ohio,39,0.194513143,0.441,0.441072888
Oklahoma,40,0.180941949,0.455,0.397674614
Oregon,41,0.170579498,0.438,0.389450908
Pennsylvania,42,0.206076459,0.452,0.455921371
Rhode Island,44,0.189409664,0.457,0.41446316
South Carolina,45,0.168162889,0.454,0.37040284
South Dakota,46,0.145435674,0.434,0.33510524
Tennessee,47,0.194556422,0.465,0.418400908
Texas,48,0.232158063,0.47,0.493953326
Utah,49,0.181956832,0.41,0.443797152
Vermont,50,0.135785933,0.423,0.321006934
Virginia,51,0.23433501,0.449,0.521904254
Washington,53,0.185462097,0.436,0.425371782
West Virginia,54,0.137199317,0.468,0.293160934
Wisconsin,55,0.16020363,0.413,0.387902251
Wyoming,56,0.138659114,0.428,0.323969894
