ncessch,leanm,schnam,mcity,mstate,fte,gslo,gshi,level,titlei,magnet,chartr,frelch,redlch,totfrl,member,am,asian,hisp,black,white,pacific,tr,toteth
3.70003E+11,COMMUNITY CHARTER SCHOOL,COMMUNITY CHARTER SCHOOL,CHARLOTTE,NC,10.77999973,KG,05,1,1,2,1,32,48,80,150,0,1,4,88,51,0,6,150
3.70006E+11,KENNEDY CHARTER,KENNEDY CHARTER PUBLIC SCHOOL,CHARLOTTE,NC,29.70000076,KG,12,4,1,2,1,253,35,288,332,0,0,20,297,6,0,9,332
3.70006E+11,LAKE NORMAN CHARTER,LAKE NORMAN CHARTER,HUNTERSVILLE,NC,90.36000061,05,12,4,2,2,1,18,5,23,1590,7,56,55,169,1119,2,182,1590
3.70009E+11,SUGAR CREEK CHARTER,SUGAR CREEK CHARTER,CHARLOTTE,NC,48.56000137,KG,08,1,1,2,1,737,92,829,950,0,2,22,915,6,0,5,950
3.70011E+11,METROLINA REGIONAL SCHOLARS ACADEMY,METROLINA REG SCHOLARS ACADEMY,CHARLOTTE,NC,26.92000008,KG,08,1,2,2,1,5,6,11,369,0,138,16,17,188,0,10,369
3.70012E+11,CROSSROADS CHARTER HIGH,CROSSROADS CHARTER HIGH,CHARLOTTE,NC,14.35999966,09,12,3,1,2,1,180,1,181,202,0,0,4,196,1,0,1,202
3.70014E+11,COMMUNITY SCHOOL OF DAVIDSON,COMMUNITY SCHOOL OF DAVIDSON,DAVIDSON,NC,90.18000031,KG,12,4,2,2,1,16,32,48,1297,4,16,53,50,1126,0,48,1297
3.70014E+11,KIPP: CHARLOTTE,KIPP CHARLOTTE,CHARLOTTE,NC,27.70000076,05,08,2,1,2,1,188,59,247,359,1,0,14,294,45,0,5,359
3.70014E+11,CHARLOTTE SECONDARY SCHOOL,CHARLOTTE SECONDARY,CHARLOTTE,NC,23.01000023,06,10,4,1,2,1,49,9,58,330,0,3,33,119,158,0,17,330
3.70033E+11,CORVIAN COMMUNITY SCHOOL,CORVIAN COMMUNITY SCHOOL,CHARLOTTE,NC,24.30999947,KG,04,1,2,2,1,6,6,12,439,0,16,22,36,328,0,37,439
3.70033E+11,INVEST COLLEGIATE,INVEST COLLEGIATE,CHARLOTTE,NC,3,KG,06,1,2,2,1,0,0,0,99,0,21,0,60,18,0,0,99
3.70034E+11,CHARLOTTE CHOICE CHARTER,CHARLOTTE CHOICE CHARTER,CHARLOTTE,NC,12.43999958,KG,05,1,1,2,1,133,16,149,197,0,2,13,179,3,0,0,197
3.70035E+11,STUDENTFIRST ACADEMY,STUDENTFIRST ACADEMY CHARTER,CHARLOTTE,NC,,KG,08,1,1,2,1,64,16,80,338,0,4,13,306,4,0,11,338
3.70035E+11,ARISTOTLE PREPARATORY ACADEMY,ARISTOTLE PREPARATORY ACADEMY,CHARLOTTE,NC,8.359999657,KG,03,1,1,2,1,81,3,84,107,0,0,3,93,8,0,3,107
3.70036E+11,CHARLOTTE LEARNING ACADEMY,CHARLOTTE LEARNING ACADEMY,CHARLOTTE,NC,,,,,,,1,,,,,,,,,,,,
3.70036E+11,PIONEER SPRINGS COMMUNITY SCHOOL,PIONEER SPRINGS COMMUNITY SCHOOL,CORNELIUS,NC,,,,,,,1,,,,,,,,,,,,
3.70037E+11,ENTREPRENEUR HIGH SCHOOL,ENTREPRENEUR HIGH SCHOOL,CHARLOTTE,NC,,,,,,,1,,,,,,,,,,,,
3.70037E+11,UNITED COMMUNITY SCHOOL,UNITED COMMUNITY SCHOOL,CHARLOTTE,NC,,,,,,,1,,,,,,,,,,,,
3.70037E+11,INVEST COLLEGIATE (BUNCOMBE),INVEST COLLEGIATE (BUNCOMBE),CORNELIUS,NC,,,,,,,1,,,,,,,,,,,,
3.70037E+11,THUNDERBIRD PREPARATORY SCHOOL,THUNDERBIRD PREPARATORY,HUNTERSVILLE,NC,,,,,,,1,,,,,,,,,,,,
3.70037E+11,CONCRETE ROSES STEM ACADEMY,CONCRETE ROSES STEM ACADEMY,MINT HILL,NC,,,,,,,1,,,,,,,,,,,,
3.70037E+11,STEWART CREEK HIGH SCHOOL,STEWART CREEK HIGH,CHARLOTTE,NC,,,,,,,1,,,,,,,,,,,,
3.70038E+11,CAROLINA STEM ACADEMY,CAROLINA STEM ACADEMY,CHARLOTTE,NC,,,,,,,1,,,,,,,,,,,,
3.70038E+11,COMMONWEALTH HIGH SCHOOL,COMMONWEALTH HIGH,CHARLOTTE,NC,,,,,,,1,,,,,,,,,,,,
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,LAKE WYLIE ELEMENTARY,CHARLOTTE,NC,40.88000107,PK,05,1,1,2,2,326,49,375,647,6,42,187,236,150,2,24,647
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SOUTH CHARLOTTE MIDDLE,CHARLOTTE,NC,43.20999908,06,08,2,2,2,2,105,39,144,881,1,87,64,102,600,1,26,881
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,UNIVERSITY MEADOWS ELEMENTARY,CHARLOTTE,NC,45.91999817,PK,05,1,1,2,2,425,62,487,681,6,35,151,419,42,1,27,681
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,IRWIN ACADEMIC CENTER,CHARLOTTE,NC,33.70999908,KG,05,1,2,1,2,123,25,148,570,4,59,20,335,136,0,16,570
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,CROWN POINT ELEMENTARY,MATTHEWS,NC,41.72000122,PK,05,1,1,2,2,342,54,396,696,6,41,161,233,239,0,16,696
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,DAVID COX ROAD ELEMENTARY,CHARLOTTE,NC,48.50999832,PK,05,1,1,2,2,432,90,522,796,9,23,87,584,77,2,14,796
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,TURNING POINT ACADEMY,CHARLOTTE,NC,30.55999947,04,12,4,1,2,2,210,8,218,244,0,1,22,197,16,1,7,244
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SMITHFIELD ELEMENTARY,CHARLOTTE,NC,42.63999939,PK,05,1,1,2,2,265,39,304,664,0,24,175,118,326,2,19,664
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ALBEMARLE ROAD ELEMENTARY,CHARLOTTE,NC,78.73999786,PK,05,1,1,2,2,1058,59,1117,1214,3,99,665,380,52,1,14,1214
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ALBEMARLE ROAD MIDDLE,CHARLOTTE,NC,69.62000275,06,08,2,1,2,2,928,80,1008,1158,9,67,458,525,70,1,28,1158
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ALEXANDER GRAHAM MIDDLE,CHARLOTTE,NC,75.65000153,06,08,2,1,2,2,461,37,498,1448,5,37,133,401,843,0,29,1448
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,J M ALEXANDER MIDDLE,HUNTERSVILLE,NC,44.97000122,06,08,2,1,2,2,297,75,372,877,4,31,87,433,301,0,21,877
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ALLENBROOK ELEMENTARY,CHARLOTTE,NC,29.84000015,KG,05,1,1,2,2,430,29,459,482,9,61,45,352,10,1,4,482
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ASHLEY PARK PREK-8 SCHOOL,CHARLOTTE,NC,40.47999954,PK,08,1,1,2,2,521,16,537,576,3,14,32,511,10,0,6,576
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BAIN ELEMENTARY,CHARLOTTE,NC,48.84000015,KG,05,1,2,2,2,155,50,205,903,3,39,78,105,651,0,27,903
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BARRINGER ACADEMIC CENTER,CHARLOTTE,NC,41.74000168,KG,05,1,1,2,2,318,20,338,614,4,111,29,351,103,1,15,614
